ID,Edad,Educacion,Estado_Civil,Ingreso,Hijos_Ninos,Hijos_Adolescentes,Fecha_Inscripcion,Dias_Ult_Compra,Gasto_Vinos,Gasto_Frutas,Gasto_Carne,Gasto_Pescado,Gasto_Dulces,Prod_prem,Compras_Oferta,Compras_Web,Compras_Catalogo,Compras_Fisicas,Visitas_Web,Queja,Costo_Contacto,Ganancia,Camp1,Camp2,Camp3,Camp4,Camp5,Ult_Camp
8180,74,Master,Divorciado ,59354.0,0.0,1,15-11-2013,53,233.0,2,53.0,3.0,5.0,14,3.0,6.0,1,5,6,0.0,,,0,0.0,0.0,0,0,0.0
2569,39,Graduation,Casado ,17323.0,0.0,0,10-10-2012,38,3.0,14,17.0,6.0,1.0,5,1.0,1.0,0,3,8,0.0,,,0,0.0,0.0,0,0,0.0
2114,80,PhD,Soltero ,82800.0,0.0,0,24-11-2012,23,1006.0,22,115.0,59.0,68.0,45,1.0,7.0,6,12,3,0.0,,,1,0.0,0.0,0,1,1.0
9736,46,Graduation,Casado ,41850.0,1.0,1,24-12-2012,51,53.0,5,19.0,2.0,13.0,4,3.0,3.0,0,3,8,0.0,,,0,0.0,0.0,0,0,0.0
4939,80,Graduation,En pareja ,37760.0,0.0,0,31-08-2012,20,84.0,5,38.0,150.0,12.0,28,2.0,4.0,1,6,7,0.0,,,0,0.0,0.0,0,0,0.0
6565,77,Master,Casado ,76995.0,0.0,1,28-03-2013,91,1012.0,80,498.0,0.0,16.0,176,0.0,11.0,4,9,5,0.0,,,1,0.0,0.0,0,0,0.0
2278,41,2n Cycle,Soltero ,33812.0,1.0,0,03-11-2012,86,4.0,17,19.0,30.0,24.0,39,2.0,2.0,1,3,6,0.0,,,0,0.0,0.0,0,0,0.0
9360,44,Graduation,Casado ,37040.0,0.0,0,08-08-2012,41,86.0,2,73.0,69.0,38.0,48,1.0,4.0,2,5,8,0.0,,,0,0.0,0.0,0,0,0.0
5376,47,Graduation,Casado ,2447.0,1.0,0,06-01-2013,42,1.0,1,1725.0,1.0,1.0,1,15.0,0.0,28,0,1,0.0,,,0,0.0,0.0,0,0,0.0
1993,77,PhD,Casado ,58607.0,0.0,1,23-12-2012,63,867.0,0,86.0,0.0,0.0,19,3.0,2.0,3,9,8,0.0,,,0,0.0,0.0,1,0,0.0
4047,72,PhD,Casado ,65324.0,0.0,1,11-01-2014,0,384.0,0,102.0,21.0,32.0,5,3.0,6.0,2,9,4,0.0,,,0,0.0,0.0,0,0,0.0
1409,75,Graduation,En pareja ,40689.0,0.0,1,18-03-2013,69,270.0,3,27.0,39.0,6.0,99,7.0,7.0,1,5,8,0.0,,,0,0.0,0.0,0,0,0.0
7892,57,Graduation,Soltero ,18589.0,0.0,0,02-01-2013,89,6.0,4,25.0,15.0,12.0,13,0.0,2.0,1,3,7,0.0,,,0,0.0,0.0,0,0,0.0
2404,50,Graduation,Casado ,53359.0,1.0,1,27-05-2013,4,173.0,4,30.0,3.0,6.0,41,4.0,5.0,1,4,7,0.0,,,0,0.0,0.0,0,0,0.0
5255,40,Graduation,Soltero ,51411.0,1.0,0,20-02-2013,19,5.0,1,3.0,3.0,263.0,362,0.0,27.0,0,0,1,0.0,,,0,0.0,0.0,0,0,0.0
9422,37,Graduation,Casado ,38360.0,1.0,0,31-05-2013,26,36.0,2,42.0,20.0,21.0,10,2.0,2.0,1,4,3,0.0,,,0,0.0,0.0,0,0,0.0
1966,61,PhD,Casado ,84618.0,0.0,0,22-11-2013,96,684.0,100,801.0,21.0,0.0,0,0.0,6.0,9,10,2,0.0,,,0,0.0,0.0,0,1,0.0
6864,37,Master,Divorciado ,10979.0,0.0,0,22-05-2014,34,8.0,4,10.0,2.0,2.0,4,2.0,3.0,0,3,5,0.0,,,0,0.0,0.0,0,0,0.0
3033,63,Master,En pareja ,38620.0,0.0,0,11-05-2013,56,112.0,17,44.0,34.0,22.0,89,1.0,2.0,5,3,3,0.0,,,0,0.0,0.0,0,0,0.0
5710,56,Graduation,En pareja ,40548.0,0.0,1,10-10-2012,31,110.0,0,5.0,2.0,0.0,3,2.0,2.0,1,4,5,0.0,,,0,0.0,0.0,1,0,0.0
7373,74,PhD,Divorciado ,46610.0,0.0,2,29-10-2012,8,96.0,12,96.0,33.0,22.0,43,6.0,4.0,1,6,6,0.0,,,0,0.0,0.0,0,0,1.0
8755,80,Master,Casado ,68657.0,0.0,0,20-02-2013,4,482.0,34,471.0,119.0,68.0,22,1.0,3.0,5,9,7,0.0,,,0,0.0,0.0,0,0,0.0
10738,75,Master,Soltero ,49389.0,1.0,1,29-08-2013,55,40.0,0,19.0,2.0,1.0,3,1.0,2.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
4339,56,PhD,Casado ,67353.0,0.0,1,31-12-2013,37,702.0,17,151.0,0.0,8.0,35,5.0,5.0,6,12,2,0.0,,,0,0.0,0.0,0,0,0.0
10755,50,2n Cycle,Casado ,23718.0,1.0,0,02-09-2013,76,6.0,3,14.0,15.0,7.0,36,3.0,3.0,1,2,7,0.0,,,0,0.0,0.0,0,0,0.0
8595,53,Graduation,Viudo ,42429.0,0.0,1,11-02-2014,99,55.0,0,6.0,2.0,0.0,4,2.0,1.0,1,3,5,0.0,,,0,0.0,0.0,0,0,0.0
2968,83,PhD,Divorciado ,48948.0,0.0,0,01-02-2013,53,437.0,8,206.0,160.0,49.0,42,2.0,7.0,10,5,6,0.0,,,0,0.0,1.0,0,0,1.0
8601,46,Graduation,Casado ,80011.0,0.0,1,29-04-2013,3,421.0,76,536.0,82.0,178.0,102,2.0,8.0,6,5,4,0.0,,,0,0.0,0.0,0,0,0.0
503,41,Master,Casado ,20559.0,0.0,0,12-03-2013,88,13.0,1,29.0,3.0,0.0,7,2.0,2.0,0,3,8,0.0,,,0,0.0,0.0,0,0,0.0
8430,69,Graduation,En pareja ,21994.0,0.0,1,24-12-2012,4,9.0,0,6.0,3.0,1.0,3,1.0,0.0,0,3,5,0.0,,,0,0.0,0.0,0,0,0.0
7281,67,PhD,Soltero ,51411.0,0.0,0,05-11-2013,80,81.0,11,50.0,3.0,2.0,39,1.0,1.0,3,4,2,0.0,,,0,0.0,0.0,0,0,0.0
2139,51,Master,Casado ,7500.0,0.0,0,02-10-2013,19,3.0,1,10.0,3.0,2.0,12,0.0,2.0,0,3,5,0.0,,,0,0.0,0.0,0,0,0.0
1371,50,Graduation,Soltero ,79941.0,0.0,0,28-06-2014,72,123.0,164,266.0,227.0,30.0,174,1.0,2.0,4,9,1,0.0,,,0,0.0,0.0,0,0,0.0
9909,30,2n Cycle,Casado ,7500.0,0.0,0,09-11-2012,24,3.0,18,14.0,15.0,22.0,50,3.0,3.0,1,3,9,0.0,,,0,0.0,0.0,0,0,1.0
7286,58,Graduation,En pareja ,41728.0,1.0,0,24-05-2013,92,13.0,6,15.0,3.0,5.0,13,1.0,2.0,0,2,10,0.0,,,0,0.0,0.0,0,0,0.0
7244,75,Graduation,Soltero ,51411.0,0.0,1,01-01-2014,96,48.0,5,48.0,6.0,10.0,7,0.0,2.0,1,4,6,0.0,,,0,0.0,0.0,0,0,0.0
6566,72,PhD,Casado ,72550.0,0.0,1,08-11-2012,39,826.0,50,317.0,50.0,38.0,38,0.0,5.0,2,12,8,0.0,,,0,0.0,0.0,0,0,0.0
8614,69,Graduation,Viudo ,65486.0,0.0,1,12-05-2014,29,245.0,19,125.0,37.0,67.0,14,1.0,4.0,2,10,2,0.0,,,0,0.0,0.0,0,0,0.0
4114,62,Master,Casado ,79143.0,0.0,0,11-08-2012,2,650.0,37,780.0,27.0,167.0,32,0.0,6.0,9,13,3,0.0,,,0,0.0,0.0,0,0,0.0
1331,49,Graduation,Soltero ,35790.0,1.0,0,02-01-2013,54,12.0,6,20.0,30.0,1.0,3,2.0,2.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
2225,49,Graduation,Divorciado ,82582.0,0.0,0,07-06-2014,54,510.0,120,550.0,156.0,40.0,241,1.0,4.0,9,7,1,0.0,,,1,0.0,1.0,0,0,1.0
9381,48,Graduation,Casado ,66373.0,0.0,1,12-06-2013,57,328.0,9,124.0,12.0,24.0,109,7.0,4.0,2,10,3,0.0,,,0,0.0,0.0,0,0,0.0
6260,71,Master,En pareja ,82384.0,0.0,0,19-11-2012,55,984.0,51,432.0,180.0,120.0,190,1.0,3.0,10,13,1,0.0,,,0,0.0,0.0,0,1,1.0
10383,60,Graduation,Divorciado ,70287.0,0.0,0,02-04-2013,30,295.0,35,0.0,0.0,0.0,40,0.0,5.0,5,10,3,0.0,,,0,0.0,0.0,0,0,1.0
7437,38,Graduation,Soltero ,27938.0,1.0,0,28-04-2014,31,13.0,0,8.0,2.0,1.0,5,1.0,1.0,0,4,3,0.0,,,0,0.0,0.0,0,0,0.0
8557,44,Graduation,Soltero ,51411.0,0.0,0,17-06-2013,57,11.0,3,22.0,2.0,2.0,6,2.0,2.0,0,3,6,0.0,,,0,0.0,0.0,0,0,0.0
8375,58,PhD,Casado ,55954.0,0.0,1,03-03-2014,63,447.0,0,28.0,0.0,0.0,43,3.0,8.0,2,6,7,0.0,,,0,0.0,0.0,0,0,0.0
6853,44,Master,Soltero ,75777.0,0.0,0,04-07-2013,12,712.0,26,538.0,69.0,13.0,80,1.0,3.0,6,11,1,0.0,,,0,0.0,0.0,1,1,1.0
3076,51,Graduation,En pareja ,66653.0,1.0,1,07-09-2012,18,452.0,18,102.0,16.0,18.0,6,4.0,4.0,2,12,3,0.0,,,0,0.0,0.0,0,0,0.0
1012,74,Graduation,Soltero ,61823.0,0.0,1,18-02-2013,26,523.0,7,134.0,37.0,14.0,169,4.0,8.0,2,10,7,0.0,,,0,0.0,0.0,0,0,0.0
6518,75,PhD,Viudo ,67680.0,0.0,1,11-06-2013,8,546.0,0,48.0,0.0,6.0,6,1.0,7.0,3,8,5,0.0,,,0,0.0,0.0,0,0,0.0
4137,78,Graduation,En pareja ,70666.0,0.0,0,06-12-2013,29,398.0,40,367.0,119.0,122.0,30,1.0,7.0,4,4,4,0.0,,,0,0.0,0.0,0,0,0.0
8082,55,Graduation,Casado ,25721.0,0.0,0,21-05-2013,75,1.0,3,6.0,3.0,6.0,15,0.0,1.0,1,2,7,0.0,,,0,0.0,0.0,0,0,1.0
1386,59,Graduation,En pareja ,32474.0,1.0,1,11-05-2014,0,10.0,0,1.0,0.0,0.0,0,1.0,1.0,0,2,7,0.0,,,0,0.0,0.0,0,0,0.0
9369,47,2n Cycle,Soltero ,88194.0,0.0,1,19-03-2014,19,688.0,14,309.0,201.0,24.0,38,0.0,11.0,10,10,5,0.0,,,1,0.0,0.0,0,0,1.0
4477,68,Graduation,En pareja ,69096.0,0.0,1,27-09-2013,4,247.0,49,159.0,7.0,82.0,109,1.0,5.0,2,10,4,0.0,,,0,0.0,0.0,0,0,0.0
1357,56,Graduation,En pareja ,74854.0,0.0,2,08-04-2013,90,856.0,59,487.0,58.0,29.0,73,0.0,2.0,5,5,5,0.0,,,0,0.0,0.0,0,0,0.0
1402,72,Master,Casado ,66991.0,0.0,0,11-09-2012,1,496.0,36,460.0,189.0,0.0,12,0.0,4.0,8,6,3,0.0,,,0,0.0,0.0,0,0,0.0
10629,53,2n Cycle,Casado ,51411.0,0.0,0,14-09-2012,25,25.0,3,43.0,17.0,4.0,17,3.0,3.0,0,3,8,0.0,,,0,0.0,0.0,0,0,0.0
6312,67,Graduation,Casado ,65031.0,0.0,1,17-03-2013,29,258.0,107,291.0,84.0,37.0,86,4.0,10.0,3,13,7,0.0,,,0,0.0,0.0,0,0,0.0
8132,51,PhD,Casado ,60631.0,0.0,1,05-04-2013,88,565.0,6,65.0,0.0,6.0,19,0.0,9.0,2,8,7,0.0,,,0,0.0,0.0,1,0,0.0
1050,74,Graduation,Casado ,28332.0,0.0,0,30-04-2014,58,14.0,10,13.0,4.0,15.0,9,1.0,2.0,1,4,2,0.0,,,0,0.0,0.0,0,0,0.0
5846,49,Graduation,Divorciado ,40246.0,1.0,0,19-12-2012,68,2.0,1,6.0,2.0,1.0,1,1.0,1.0,0,2,6,0.0,,,0,0.0,0.0,0,0,0.0
1859,54,Master,Casado ,75251.0,0.0,0,27-08-2012,34,721.0,111,925.0,97.0,18.0,18,1.0,7.0,6,5,5,0.0,,,0,0.0,0.0,0,0,1.0
7503,50,Graduation,Soltero ,75825.0,0.0,0,12-10-2012,40,1032.0,105,779.0,137.0,105.0,51,0.0,5.0,8,9,4,0.0,,,0,0.0,1.0,0,0,1.0
10401,50,2n Cycle,En pareja ,26326.0,0.0,0,04-09-2013,12,1.0,0,5.0,0.0,3.0,9,1.0,0.0,0,3,3,0.0,,,0,0.0,0.0,0,0,0.0
1618,61,Graduation,En pareja ,56046.0,0.0,0,02-01-2013,9,577.0,0,64.0,0.0,0.0,51,2.0,10.0,1,8,8,0.0,,,0,0.0,1.0,0,0,1.0
3332,41,Graduation,Soltero ,29760.0,1.0,0,29-08-2012,87,64.0,4,68.0,7.0,5.0,17,4.0,3.0,1,4,8,0.0,,,0,0.0,0.0,0,0,0.0
2261,57,Graduation,Casado ,26304.0,0.0,0,23-06-2013,5,4.0,1,5.0,2.0,0.0,4,1.0,1.0,0,2,7,0.0,,,0,0.0,0.0,0,0,0.0
5346,53,2n Cycle,Casado ,23559.0,1.0,0,03-07-2013,87,25.0,5,19.0,7.0,0.0,23,3.0,3.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
4119,63,Master,En pareja ,38620.0,0.0,0,11-05-2013,56,112.0,17,44.0,34.0,22.0,89,1.0,2.0,5,3,3,0.0,,,0,0.0,0.0,0,0,0.0
535,39,Graduation,Divorciado ,81361.0,0.0,0,25-02-2014,18,163.0,23,424.0,27.0,65.0,76,1.0,3.0,10,13,1,0.0,,,0,0.0,0.0,0,0,0.0
5268,66,Graduation,Casado ,29440.0,1.0,1,11-08-2013,95,17.0,8,14.0,10.0,4.0,3,2.0,1.0,0,4,7,0.0,,,0,0.0,0.0,0,0,0.0
273,56,Master,Casado ,36138.0,0.0,1,16-07-2013,48,130.0,0,16.0,0.0,0.0,5,5.0,3.0,1,4,7,0.0,,,0,0.0,0.0,1,0,0.0
4452,69,Graduation,Soltero ,50388.0,0.0,1,28-05-2014,3,292.0,6,37.0,0.0,3.0,34,4.0,6.0,1,6,7,0.0,,,1,0.0,0.0,1,0,1.0
8504,53,Graduation,Casado ,79593.0,0.0,0,12-05-2014,70,350.0,60,568.0,110.0,133.0,145,1.0,5.0,6,7,2,0.0,,,0,0.0,0.0,0,1,0.0
771,59,Graduation,En pareja ,54178.0,0.0,1,21-01-2014,79,135.0,9,39.0,4.0,0.0,7,1.0,2.0,2,5,2,0.0,,,0,0.0,0.0,0,0,0.0
8996,69,PhD,Casado ,51411.0,2.0,1,19-11-2012,4,230.0,42,192.0,49.0,37.0,53,12.0,7.0,2,8,9,0.0,,,0,0.0,0.0,0,0,0.0
9235,69,Graduation,Soltero ,51411.0,0.0,1,27-05-2014,45,7.0,0,8.0,2.0,0.0,1,1.0,1.0,0,2,7,0.0,,,0,0.0,0.0,0,0,0.0
5798,53,Master,En pareja ,51411.0,0.0,0,23-11-2013,87,445.0,37,359.0,98.0,28.0,18,1.0,2.0,4,8,1,0.0,,,0,0.0,0.0,0,0,0.0
11178,54,Master,Soltero ,42394.0,1.0,0,23-03-2014,69,15.0,2,10.0,0.0,1.0,4,1.0,1.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
2230,56,PhD,Casado ,23626.0,1.0,0,24-05-2014,84,27.0,2,14.0,0.0,0.0,0,3.0,3.0,1,3,5,0.0,,,0,0.0,0.0,0,0,0.0
7516,43,Graduation,Casado ,30096.0,1.0,0,22-05-2014,30,5.0,3,11.0,12.0,5.0,9,1.0,2.0,0,3,6,0.0,,,0,0.0,0.0,0,0,0.0
7247,66,Graduation,Viudo ,47916.0,0.0,1,22-11-2012,72,505.0,0,0.0,0.0,0.0,75,0.0,7.0,4,6,6,0.0,,,0,0.0,0.0,1,0,0.0
11100,54,Graduation,Divorciado ,51813.0,1.0,1,11-04-2013,37,51.0,2,7.0,0.0,1.0,2,2.0,2.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
4646,75,2n Cycle,Casado ,78497.0,0.0,0,01-12-2013,44,207.0,26,447.0,75.0,0.0,223,1.0,5.0,7,12,2,0.0,,,1,0.0,0.0,0,0,0.0
3037,43,PhD,Casado ,50150.0,0.0,0,20-06-2013,32,135.0,46,92.0,65.0,61.0,11,0.0,5.0,2,7,5,0.0,,,0,0.0,0.0,0,0,0.0
1473,66,2n Cycle,Soltero ,47823.0,0.0,1,23-07-2013,0,53.0,1,0.0,0.0,0.0,10,0.0,2.0,0,3,8,0.0,,,0,0.0,0.0,0,0,0.0
1016,67,PhD,Soltero ,34554.0,0.0,1,30-03-2014,43,41.0,1,6.0,2.0,0.0,5,2.0,2.0,0,3,6,0.0,,,0,0.0,0.0,0,0,0.0
4518,47,Graduation,En pareja ,85693.0,0.0,1,20-04-2013,59,386.0,172,183.0,185.0,132.0,111,2.0,9.0,5,11,5,0.0,,,0,0.0,0.0,0,0,0.0
9370,81,PhD,Casado ,65846.0,0.0,0,17-05-2013,68,562.0,81,276.0,80.0,40.0,81,1.0,6.0,3,6,4,0.0,,,0,0.0,0.0,0,0,0.0
8908,67,Graduation,Casado ,87195.0,0.0,0,08-05-2014,35,217.0,76,690.0,50.0,26.0,38,1.0,3.0,11,5,1,0.0,,,0,0.0,0.0,0,0,1.0
8373,47,Basic,En pareja ,24594.0,0.0,0,10-12-2013,94,1.0,3,6.0,10.0,0.0,9,1.0,1.0,0,3,5,0.0,,,0,0.0,0.0,0,0,0.0
7533,62,Graduation,Casado ,49096.0,1.0,1,24-09-2013,15,144.0,1,32.0,2.0,1.0,7,4.0,4.0,1,4,7,0.0,,,0,0.0,0.0,0,0,0.0
2683,57,Graduation,Casado ,52413.0,0.0,2,02-02-2013,56,295.0,106,271.0,75.0,98.0,65,4.0,6.0,4,12,6,0.0,,,0,0.0,0.0,0,0,0.0
3629,48,Graduation,Soltero ,38557.0,1.0,0,19-12-2012,17,76.0,3,31.0,4.0,4.0,27,2.0,3.0,1,3,7,0.0,,,0,0.0,0.0,0,0,0.0
10991,66,Master,Casado ,89058.0,0.0,0,07-12-2012,18,454.0,194,106.0,31.0,22.0,43,0.0,5.0,4,4,2,0.0,,,0,0.0,0.0,0,0,0.0
5077,47,Graduation,En pareja ,77298.0,0.0,1,02-11-2013,46,425.0,115,292.0,23.0,35.0,79,1.0,6.0,6,11,3,0.0,,,0,0.0,0.0,0,0,0.0
7431,35,PhD,Soltero ,68126.0,0.0,0,10-11-2012,40,1332.0,17,0.0,23.0,0.0,86,0.0,7.0,4,5,9,0.0,,,0,0.0,0.0,1,0,1.0
3267,63,Master,En pareja ,57288.0,0.0,1,25-06-2014,27,527.0,0,21.0,0.0,0.0,60,3.0,8.0,1,8,6,0.0,,,0,0.0,0.0,1,0,0.0
999,35,Graduation,Soltero ,86037.0,0.0,0,02-01-2013,95,490.0,44,125.0,29.0,20.0,22,1.0,6.0,7,11,3,0.0,,,0,0.0,0.0,1,1,1.0
9215,46,PhD,Casado ,43974.0,1.0,0,12-12-2012,19,378.0,0,101.0,0.0,0.0,72,5.0,6.0,4,6,7,0.0,,,0,0.0,0.0,0,0,0.0
2286,64,Graduation,Soltero ,50785.0,0.0,1,10-09-2013,27,64.0,1,21.0,0.0,1.0,27,2.0,2.0,1,3,6,0.0,,,0,0.0,0.0,0,0,0.0
1592,56,Graduation,Casado ,90765.0,0.0,0,24-01-2014,25,547.0,99,812.0,151.0,82.0,33,0.0,4.0,6,5,1,0.0,,,1,0.0,0.0,0,1,0.0
367,48,2n Cycle,Casado ,36550.0,1.0,0,19-02-2013,74,47.0,90,94.0,123.0,103.0,120,5.0,9.0,1,5,9,0.0,,,0,0.0,0.0,0,0,0.0
5234,59,2n Cycle,En pareja ,30753.0,0.0,1,11-07-2013,85,12.0,5,25.0,0.0,9.0,30,2.0,1.0,1,3,5,0.0,,,0,0.0,0.0,0,0,0.0
9862,57,Graduation,En pareja ,21918.0,1.0,0,14-11-2013,37,1.0,6,7.0,11.0,5.0,3,2.0,2.0,0,3,6,0.0,,,0,0.0,0.0,0,0,0.0
9805,73,Master,En pareja ,56129.0,0.0,1,20-06-2013,65,320.0,48,133.0,39.0,72.0,48,0.0,6.0,2,10,4,0.0,,,0,0.0,0.0,0,0,0.0
6205,59,Master,Soltero ,32557.0,0.0,0,24-02-2014,13,34.0,3,29.0,0.0,4.0,10,3.0,2.0,1,3,5,0.0,,,0,0.0,0.0,0,0,1.0
8442,41,Master,Casado ,19510.0,2.0,0,04-09-2013,63,9.0,0,7.0,3.0,4.0,7,2.0,1.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
7386,50,Graduation,Divorciado ,30992.0,0.0,0,22-04-2013,83,17.0,0,14.0,7.0,3.0,2,1.0,1.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
7215,43,Graduation,Soltero ,101970.0,0.0,0,12-03-2013,69,722.0,27,102.0,44.0,72.0,168,0.0,6.0,8,13,2,0.0,,,1,0.0,0.0,1,1,1.0
1491,61,2n Cycle,En pareja ,71488.0,0.0,0,18-02-2013,87,162.0,33,124.0,40.0,28.0,172,2.0,3.0,4,7,1,0.0,,,0,0.0,0.0,0,0,0.0
11071,42,Graduation,Soltero ,79607.0,0.0,0,21-04-2013,37,450.0,133,951.0,173.0,0.0,216,1.0,3.0,6,6,1,0.0,,,0,0.0,0.0,0,0,1.0
3381,73,Master,Casado ,54348.0,1.0,1,08-06-2014,51,70.0,0,16.0,0.0,0.0,4,2.0,2.0,0,4,6,0.0,,,0,0.0,0.0,0,0,0.0
8268,65,PhD,Casado ,51411.0,0.0,1,11-07-2013,23,352.0,0,27.0,10.0,0.0,15,0.0,6.0,1,7,6,0.0,,,0,0.0,0.0,0,0,0.0
11051,70,PhD,En pareja ,77376.0,1.0,1,10-05-2014,72,492.0,19,110.0,16.0,12.0,12,4.0,6.0,3,10,4,0.0,,,0,0.0,0.0,0,0,0.0
8026,74,Graduation,Casado ,62998.0,0.0,1,30-09-2013,10,120.0,58,73.0,65.0,89.0,58,5.0,5.0,4,5,5,0.0,,,0,0.0,0.0,0,0,0.0
433,68,Master,Soltero,61331.0,1.0,1,10-03-2013,42,534.0,5,47.0,0.0,5.0,41,5.0,11.0,1,6,8,0.0,,,0,0.0,0.0,0,0,0.0
9597,57,Graduation,Casado ,73448.0,0.0,0,10-02-2014,10,236.0,106,189.0,23.0,41.0,130,1.0,7.0,2,9,4,0.0,,,0,0.0,0.0,0,0,0.0
1295,63,Graduation,Casado ,51411.0,0.0,1,11-08-2013,96,231.0,65,196.0,38.0,71.0,124,1.0,6.0,5,7,4,0.0,,,0,0.0,0.0,0,0,0.0
5290,62,PhD,Casado ,41551.0,0.0,1,14-08-2013,51,220.0,0,33.0,3.0,0.0,23,0.0,5.0,1,5,8,0.0,,,0,0.0,0.0,0,0,0.0
1685,59,PhD,En pareja ,62981.0,0.0,0,17-03-2013,21,796.0,14,590.0,38.0,44.0,0,0.0,4.0,5,13,3,0.0,,,0,0.0,0.0,1,0,0.0
5342,50,Basic,Divorciado ,9548.0,0.0,0,08-08-2012,31,0.0,1,3.0,10.0,6.0,9,2.0,1.0,0,3,8,0.0,,,0,0.0,0.0,0,0,0.0
9579,67,PhD,Casado ,33762.0,2.0,1,07-07-2013,61,53.0,1,34.0,2.0,0.0,16,3.0,2.0,2,2,8,0.0,,,0,0.0,0.0,0,0,0.0
7660,53,PhD,Soltero,35860.0,1.0,1,19-05-2014,37,15.0,0,8.0,4.0,2.0,20,2.0,76.0,1,2,5,0.0,,,0,0.0,1.0,0,0,1.0
1461,61,PhD,Divorciado ,36921.0,1.0,1,28-07-2013,74,17.0,1,12.0,3.0,1.0,4,2.0,2.0,0,3,7,0.0,,,0,0.0,0.0,0,0,0.0
821,34,Master,Soltero ,92859.0,0.0,0,19-10-2012,46,962.0,61,921.0,52.0,61.0,20,1.0,5.0,4,12,2,0.0,,,0,0.0,0.0,0,0,0.0
11084,50,Master,En pareja ,65104.0,0.0,1,14-11-2013,4,738.0,0,232.0,13.0,20.0,50,2.0,3.0,5,7,7,0.0,,,0,0.0,0.0,0,0,1.0
8690,64,Graduation,Casado ,86111.0,0.0,0,19-04-2013,73,399.0,28,756.0,36.0,40.0,126,1.0,5.0,7,10,2,0.0,,,0,0.0,0.0,0,0,0.0
2937,52,PhD,Soltero ,68352.0,0.0,1,28-08-2013,47,614.0,16,132.0,43.0,33.0,33,3.0,8.0,5,9,6,0.0,,,0,0.0,0.0,0,0,0.0
9701,38,Graduation,En pareja ,41883.0,1.0,0,19-03-2013,13,32.0,34,41.0,73.0,16.0,116,3.0,4.0,2,3,7,0.0,,,0,0.0,0.0,0,0,0.0
